Nickname,Verified,CommentCount,PlayCount,ShareCount,Duration
Manuel Mercuri,True,56200,143000000,154100,8
Zach King,True,26300,61300000,92600,14
Spencer Rubin,False,18000,35800000,51100,8
Mixtape World,False,29500,59000000,237400,21
NDJ,True,62500,55800000,59100,11
Salavat Fidai,True,12400,57400000,16800,15
SUPERMASSIVE,True,60900,51800000,278800,30
₉⁹₉,False,22800,40000000,17600,21
NDJ,True,20500,61200000,21900,10
Sarah Cothran,True,59400,44400000,149800,20
Stars,False,17000,50100000,77600,36
Fredo_voutaz,False,133000,47900000,229700,9
Spencer X,True,20700,46300000,159500,30
⚡️Jaaviisuarez⚡️,False,143900,45000000,299400,37
@Jordi.koalitic,True,10100,56300000,136900,26
Shaquan Parson,True,66900,62000000,80200,14
Happy Trollface,False,59700,50800000,78200,25
Deanna Giulietti,True,15800,44300000,12900,33
Clara Thomas,False,43400,32500000,156400,55
,False,99400,36000000,190600,9
boomer_the_landcloud,True,69000,46200000,426100,12
Jennafer Salisbury,False,34500,30800000,282700,12
The Talking Dog,False,22500,38800000,146400,18
Tortoise Whisperer,False,19000,27900000,47500,57
Tysm all for the support,False,47900,29800000,26000,32
Lauren Fleming,False,32700,35700000,41900,13
Togethxr,True,49300,41900000,281300,16
PANDA BOI,True,45300,58400000,13500,19
,False,104500,21600000,252100,7
Wesley Owens,False,29800,33600000,55000,72
PicassoAndNewtTheNoseless,False,359400,64300000,406500,10
Illumination’s Minions,True,35300,28000000,33300,6
Artem von Frost,False,32100,27800000,177100,7
Mark Ernst,False,29500,22700000,37400,15
grace pakola,False,33400,19000000,23000,52
Rosie Somerville,False,80200,94100000,81300,53
Nickelodeon,True,98100,56000000,178700,16
Jaadiee,True,62500,55800000,181000,13
Deanna Giulietti,True,15800,44300000,12900,33
Shay,True,71300,34000000,50700,21
Mood,False,154300,36800000,119900,12
Ceci.monge,False,121500,23100000,82100,57
FarrisFilms,False,36000,41000000,30000,23
Vanessa Chen,False,17000,54000000,34100,24
Dymon,False,81800,19100000,83500,15
Denise Mercedes,True,34800,37600000,56600,15
Shay,True,63700,21500000,82700,25
Sh1ryinyin,False,74000,43500000,271900,31
Shay,True,27600,30900000,19000,27
ELF3141592,False,34300,53200000,36400,19
Anna Gantt,False,79500,31600000,59200,172
Mikayla Nogueira,True,22500,24500000,63800,59
Erin,False,29800,22800000,79400,59
Denise Mercedes,True,27800,37500000,34200,15
Minh Nguyen,False,13200,37700000,75700,19
Charlena Aquino,False,179000,26900000,154700,7
Diego Alejandro,False,17000,41300000,90900,23
Ольга Бажутова,False,16500,15400000,14400,12
What The Hales,False,7006,82900000,8878,60
ThoHup,False,19700,22200000,74900,32
What The Hales,False,5173,78700000,7428,60
Shelby,False,24900,11100000,121100,11
